CustomerID,CustomerName,HomeArea,JoinDate,Membership,TransactionID,OrderDate,Area,Product,Category,Qty,UnitPrice,PaymentMode
CUST012,Moumita Ghosh,Ballygunge,2025-05-15,Ragular,TXN0042,2025-06-26,Gariahat,Jute Bag,Accessories,1.0,1200.0,UPI
CUST012,Moumita Ghosh,Ballygunge,2025-05-15,Ragular,TXN0069,2025-06-24,New Market,Punjabi,Clothing,2.0,600.0,Card
CUST012,Moumita Ghosh,Ballygunge,2025-05-15,Ragular,TXN0181,2025-05-15,Dum Dum,Punjabi,Clothing,3.0,250.0,Cash
CUST012,Moumita Ghosh,Ballygunge,2025-05-15,Ragular,TXN0220,2025-10-18,Behala,Saree,Clothing,5.0,600.0,UPI
CUST013,Souvik Bose,Park Street,2024-06-24,Gold,TXN0003,2025-01-04,New Market,Rosogolla Tin,Food,2.0,600.0,Cash
CUST014,Sneha Banerjee,Ballygunge,2023-10-05,Gold,TXN0004,2025-02-19,Park Street,Tea Packet,Grocery,1.0,1200.0,UPI
CUST014,Sneha Banerjee,Ballygunge,2023-10-05,Gold,TXN0018,2025-08-13,Howrah,Fish (Rui),Food,2.0,800.0,Card
CUST014,Sneha Banerjee,Ballygunge,2023-10-05,Gold,TXN0120,2025-02-11,New Market,Fish (Rui),Food,2.0,300.0,Cash
CUST015,Rohan Mukherjee,Gariahat,2023-07-03,Regular,TXN0040,2025-04-27,BALLYGUNGE,Fish (Rui),Food,2.0,600.0,Card
CUST015,Rohan Mukherjee,Gariahat,2023-07-03,Regular,TXN0075,2025-12-29,Salt Lake,Tea Packet,Grocery,2.0,150.0,Cash
CUST015,Rohan Mukherjee,Gariahat,2023-07-03,Regular,TXN0101,2025-08-16,Dum Dum,Kurti,Clothing,1.0,250.0,UPI
CUST015,Rohan Mukherjee,Gariahat,2023-07-03,Regular,TXN0214,2025-08-30,Park Street,Saree,Clothing,2.0,800.0,Cash
CUST018,Amit Roy,Behala,2024-01-29,Silver,TXN0041,2025-12-14,Howrah,Kurti,Clothing,2.0,1200.0,Card
CUST018,Amit Roy,Behala,2024-01-29,Silver,TXN0133,2025-06-23,SALT LAKE,Saree,Clothing,2.0,600.0,Cash
CUST018,Amit Roy,Behala,2024-01-29,Silver,TXN0211,2025-07-22,Park Street,Jute Bag,Accessories,3.0,1200.0,Card
CUST019,Rohan Dutta,Behala,2023-02-24,Gold,TXN0026,2025-06-01,Ballygunge,Rosogolla Tin,Food,1.0,450.0,Cash
CUST019,Rohan Dutta,Behala,2023-02-24,Gold,TXN0045,2025-12-13,New Market,Sweets Box,Food,2.0,1200.0,Cash
CUST019,Rohan Dutta,Behala,2023-02-24,Gold,TXN0076,2025-10-21,Ballygunge,Sweets Box,Food,1.0,150.0,Cash
CUST019,Rohan Dutta,Behala,2023-02-24,Gold,TXN0182,2025-02-07,New Market,Punjabi,Clothing,1.0,300.0,UPI
CUST021,Piyali Bose,Dum Dum,2025-03-03,Regular,TXN0060,2025-10-05,Dum Dum,Tea Packet,Grocery,2.0,1200.0,UPI
CUST021,Piyali Bose,Dum Dum,2025-03-03,Regular,TXN0097,2025-11-09,Dum Dum,Punjabi,Clothing,2.0,300.0,Card
CUST021,Piyali Bose,Dum Dum,2025-03-03,Regular,TXN0122,2025-03-06,Salt Lake,Saree,Clothing,2.0,150.0,UPI
CUST022,Suroj Mukherjee,Ballygunge,2024-05-17,Silver,TXN0088,2025-09-10,Ballygunge,Rosogolla Tin,Food,2.0,1200.0,Card
CUST022,Suroj Mukherjee,Ballygunge,2024-05-17,Silver,TXN0173,2025-08-12,Park Street,Jute Bag,Accessories,5.0,800.0,UPI
CUST023,Riya Dutta,Dum Dum,2024-03-18,Silver,TXN0061,2025-01-16,park street  ,Fish (Rui),Food,5.0,150.0,Cash
CUST023,Riya Dutta,Dum Dum,2024-03-18,Silver,TXN0169,2025-10-25,Behala,Kurti,Clothing,1.0,250.0,Card
CUST025,Ishita Banerjee,Park Street,2023-03-26,Regular,TXN0100,2025-11-13,Ballygunge,Tea Packet,Grocery,5.0,150.0,Card
CUST026,Debashish Roy,Salt Lake,2025-01-27,Ragular,TXN0064,2025-02-22,Park Street,Fish (Rui),Food,3.0,450.0,UPI
CUST026,Debashish Roy,Salt Lake,2025-01-27,Ragular,TXN0138,2025-04-19,Gariahat,Saree,Clothing,1.0,600.0,UPI
CUST026,Debashish Roy,Salt Lake,2025-01-27,Ragular,TXN0141,2025-01-11,Howrah,Rosogolla Tin,Food,1.0,1200.0,UPI
CUST027,Souvik Chatterjee,Park Street,2023-04-04,Gold,TXN0029,2025-05-03,Howrah,Tea Packet,Grocery,1.0,800.0,Card
CUST027,Souvik Chatterjee,Park Street,2023-04-04,Gold,TXN0241,2025-05-11,salt lake  ,Rosogolla Tin,Food,2.0,450.0,UPI
CUST028,Ishita Sen,Behala,2025-02-18,Regular,TXN0175,2025-02-10,Howrah,Sweets Box,Food,2.0,250.0,Cash
CUST029,Priya Das,Park Street,2023-07-11,Ragular,TXN0187,2025-03-08,Behala,Punjabi,Clothing,1.0,300.0,UPI
CUST029,Priya Das,Park Street,2023-07-11,Ragular,TXN0195,2025-05-29,Salt Lake,Fish (Rui),Food,1.0,150.0,Cash
CUST032,Souvik Roy,Gariahat,2023-10-26,Ragular,TXN0228,2025-08-21,Ballygunge,Kurti,Clothing,5.0,150.0,UPI
CUST034,Moumita Roy,Salt Lake,2023-05-23,Regular,TXN0067,2025-10-31,Ballygunge,Jute Bag,Accessories,2.0,1200.0,UPI
CUST034,Moumita Roy,Salt Lake,2023-05-23,Regular,TXN0150,2025-07-18,Behala,Sweets Box,Food,2.0,600.0,UPI
CUST034,Moumita Roy,Salt Lake,2023-05-23,Regular,TXN0188,2025-06-15,Howrah,Sweets Box,Food,1.0,300.0,Card
CUST034,Moumita Roy,Salt Lake,2023-05-23,Regular,TXN0233,2025-01-12,New Market,Sweets Box,Food,5.0,150.0,UPI
CUST034,Moumita Roy,Salt Lake,2023-05-23,Regular,TXN0238,2025-02-01,Dum Dum,Fish (Rui),Food,2.0,600.0,UPI
CUST035,Ishita Mukherjee,Ballygunge,2023-05-30,Gold,TXN0121,2025-09-03,Salt Lake,Jute Bag,Accessories,1.0,150.0,Cash
CUST036,Moumita Roy,Howrah,2024-03-07,Regular,TXN0011,2025-07-05,Dum Dum,Jute Bag,Accessories,3.0,1200.0,UPI
CUST036,Moumita Roy,Howrah,2024-03-07,Regular,TXN0070,2025-07-28,New Market,Saree,Clothing,1.0,450.0,UPI
CUST036,Moumita Roy,Howrah,2024-03-07,Regular,TXN0130,2025-12-07,Park Street,Tea Packet,Grocery,2.0,800.0,Card
CUST036,Moumita Roy,Howrah,2024-03-07,Regular,TXN0201,2025-09-14,SALT LAKE,Tea Packet,Grocery,1.0,1200.0,Card
CUST037,Sohini Ghosh,Behala,2023-09-15,Silver,TXN0006,2025-05-29,Park Street,Fish (Rui),Food,1.0,450.0,UPI
CUST037,Sohini Ghosh,Behala,2023-09-15,Silver,TXN0159,2025-07-15,Ballygunge,Punjabi,Clothing,5.0,600.0,Cash
CUST038,Sohini Bose,New Market,2024-04-13,Gold,TXN0147,2025-06-08,behala  ,Saree,Clothing,3.0,250.0,Card
CUST039,Debashish Mukherjee,Gariahat,2024-02-10,Regular,TXN0119,2025-05-05,Gariahat,Saree,Clothing,5.0,800.0,Cash
CUST039,Debashish Mukherjee,Gariahat,2024-02-10,Regular,TXN0131,2025-03-21,Behala,Jute Bag,Accessories,1.0,450.0,Cash
CUST040,Piyali Roy,Behala,2024-03-26,Regular,TXN0038,2025-04-01,NEW MARKET,Sweets Box,Food,5.0,300.0,Card
CUST042,Piyali Banerjee,Ballygunge,2023-11-18,Silver,TXN0071,2025-02-17,Ballygunge,Punjabi,Clothing,5.0,150.0,Card
CUST042,Piyali Banerjee,Ballygunge,2023-11-18,Silver,TXN0191,2025-11-13,New Market,Jute Bag,Accessories,5.0,1200.0,Card
CUST042,Piyali Banerjee,Ballygunge,2023-11-18,Silver,TXN0192,2025-06-02,ballygunge  ,Jute Bag,Accessories,1.0,1200.0,UPI
CUST043,Abir Chatterjee,Howrah,2025-01-22,Ragular,TXN0072,2025-08-06,Ballygunge,Tea Packet,Grocery,3.0,800.0,Card
CUST043,Abir Chatterjee,Howrah,2025-01-22,Ragular,TXN0134,2025-02-16,Park Street,Rosogolla Tin,Food,1.0,150.0,Cash
CUST044,Amit Banerjee,Behala,2024-01-21,Regular,TXN0048,2025-03-17,NEW MARKET,Jute Bag,Accessories,5.0,450.0,Cash
CUST044,Amit Banerjee,Behala,2024-01-21,Regular,TXN0154,2025-01-10,Dum Dum,Kurti,Clothing,3.0,800.0,Card
CUST044,Amit Banerjee,Behala,2024-01-21,Regular,TXN0209,2025-05-23,Ballygunge,Jute Bag,Accessories,1.0,450.0,Card
CUST045,Abir Chatterjee,Park Street,2024-07-31,Silver,TXN0009,2025-04-28,Behala,Fish (Rui),Food,5.0,150.0,UPI
CUST045,Abir Chatterjee,Park Street,2024-07-31,Silver,TXN0050,2025-04-23,Park Street,Saree,Clothing,5.0,1200.0,UPI
CUST047,Suroj Sen,New Market,2024-03-24,Regular,TXN0005,2025-10-10,Park Street,Punjabi,Clothing,2.0,250.0,Card
CUST047,Suroj Sen,New Market,2024-03-24,Regular,TXN0186,2025-10-22,Dum Dum,Punjabi,Clothing,5.0,1200.0,UPI
CUST049,Sneha Mukherjee,Salt Lake,2025-01-02,Ragular,TXN0199,2025-01-27,Behala,Rosogolla Tin,Food,1.0,1200.0,UPI
CUST049,Sneha Mukherjee,Salt Lake,2025-01-02,Ragular,TXN0235,2025-11-11,gariahat  ,Kurti,Clothing,5.0,1200.0,Cash
CUST049,Sneha Mukherjee,Salt Lake,2025-01-02,Ragular,TXN0240,2025-06-03,New Market,Punjabi,Clothing,5.0,450.0,Cash
CUST049,Sneha Mukherjee,Salt Lake,2025-01-02,Ragular,TXN0235,2025-11-11,gariahat  ,Kurti,Clothing,5.0,1200.0,Cash
CUST050,Abir Ghosh,Ballygunge,2024-09-04,Ragular,TXN0079,2025-10-29,Ballygunge,Rosogolla Tin,Food,2.0,600.0,Cash
CUST050,Abir Ghosh,Ballygunge,2024-09-04,Ragular,TXN0155,2025-03-21,New Market,Punjabi,Clothing,1.0,300.0,Cash
CUST050,Abir Ghosh,Ballygunge,2024-09-04,Ragular,TXN0245,2025-06-07,Dum Dum,Jute Bag,Accessories,2.0,800.0,UPI
CUST051,Amit Roy,Dum Dum,2024-07-10,Gold,TXN0039,2025-12-26,new market  ,Rosogolla Tin,Food,2.0,300.0,UPI
CUST051,Amit Roy,Dum Dum,2024-07-10,Gold,TXN0065,2025-12-05,BEHALA,Saree,Clothing,3.0,1200.0,UPI
CUST051,Amit Roy,Dum Dum,2024-07-10,Gold,TXN0103,2025-11-09,Salt Lake,Sweets Box,Food,1.0,250.0,Cash
CUST053,Riya Das,Gariahat,2024-07-30,Ragular,TXN0162,2025-01-28,Behala,Punjabi,Clothing,1.0,1200.0,UPI
CUST053,Riya Das,Gariahat,2024-07-30,Ragular,TXN0196,2025-09-13,Behala,Tea Packet,Grocery,1.0,300.0,UPI
CUST053,Riya Das,Gariahat,2024-07-30,Ragular,TXN0221,2025-09-12,Behala,Rosogolla Tin,Food,1.0,1200.0,Card
CUST053,Riya Das,Gariahat,2024-07-30,Ragular,TXN0162,2025-01-28,Behala,Punjabi,Clothing,1.0,1200.0,UPI
CUST054,Souvik Roy,Park Street,2023-01-11,Gold,TXN0046,2025-08-09,Howrah,Saree,Clothing,2.0,450.0,Cash
CUST054,Souvik Roy,Park Street,2023-01-11,Gold,TXN0086,2025-03-31,Howrah,Saree,Clothing,3.0,150.0,Card
CUST054,Souvik Roy,Park Street,2023-01-11,Gold,TXN0129,2025-07-10,Park Street,Kurti,Clothing,2.0,250.0,Cash
CUST054,Souvik Roy,Park Street,2023-01-11,Gold,TXN0142,2025-05-05,Park Street,Tea Packet,Grocery,2.0,250.0,UPI
CUST054,Souvik Roy,Park Street,2023-01-11,Gold,TXN0227,2025-09-24,Salt Lake,Fish (Rui),Food,1.0,800.0,Cash
CUST054,Souvik Roy,Park Street,2023-01-11,Gold,TXN0248,2025-05-12,Ballygunge,Fish (Rui),Food,3.0,800.0,UPI
CUST055,Tanmoy Banerjee,New Market,2024-04-01,Regular,TXN0242,2025-01-27,Park Street,Tea Packet,Grocery,3.0,450.0,UPI
CUST056,Abir Sen,Salt Lake,2023-12-20,Gold,TXN0025,2025-01-02,Gariahat,Rosogolla Tin,Food,1.0,1200.0,UPI
CUST056,Abir Sen,Salt Lake,2023-12-20,Gold,TXN0143,2025-03-28,Behala,Jute Bag,Accessories,1.0,800.0,Cash
CUST056,Abir Sen,Salt Lake,2023-12-20,Gold,TXN0194,2025-09-21,Dum Dum,Tea Packet,Grocery,1.0,800.0,Card
CUST056,Abir Sen,Salt Lake,2023-12-20,Gold,TXN0232,2025-12-01,Dum Dum,Rosogolla Tin,Food,1.0,300.0,UPI
CUST056,Abir Sen,Salt Lake,2023-12-20,Gold,TXN0243,2025-09-03,New Market,Kurti,Clothing,5.0,450.0,UPI
CUST057,Sohini Ghosh,Howrah,2024-03-01,Gold,TXN0198,2025-02-25,Howrah,Punjabi,Clothing,3.0,150.0,Card
CUST058,Priya Das,Behala,2023-11-16,Regular,TXN0002,2025-02-17,Dum Dum,Kurti,Clothing,1.0,150.0,Cash
CUST058,Priya Das,Behala,2023-11-16,Regular,TXN0036,2025-10-26,gariahat  ,Sweets Box,Food,5.0,800.0,Card
CUST058,Priya Das,Behala,2023-11-16,Regular,TXN0037,2025-08-12,Behala,Saree,Clothing,1.0,450.0,UPI
CUST059,Kunal Banerjee,Ballygunge,2023-12-23,Ragular,TXN0094,2025-06-24,Park Street,Sweets Box,Food,2.0,1200.0,Card
CUST059,Kunal Banerjee,Ballygunge,2023-12-23,Ragular,TXN0152,2025-06-29,Behala,Sweets Box,Food,1.0,300.0,UPI
CUST060,Priya Sen,Ballygunge,2023-11-23,Gold,TXN0016,2025-04-05,HOWRAH,Tea Packet,Grocery,1.0,150.0,UPI
CUST060,Priya Sen,Ballygunge,2023-11-23,Gold,TXN0222,2025-05-01,Gariahat,Fish (Rui),Food,2.0,1200.0,Card
